4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,ground_floor_ic,1.0,14.0,1.0,18.0,0,0,1,0,0,0,0,0,0,1,0
3102,toilet_ic,1.0,14.9,2.0,14.9,1,0,0,0,0,0,0,0,0,0,0
3103,bunk_ic,1.0,12.8,1.0,17.2,0,0,0,0,1,1,0,0,0,0,0
3104,bunk_ic,2.0,12.9,2.0,16.9,0,0,0,0,0,0,1,0,0,0,0
3105,ground_floor_ic,2.0,17.5,2.0,21.5,0,0,1,0,0,0,0,0,0,1,0
3106,toilet_ic,1.0,21.0,2.0,21.5,1,0,1,0,0,0,0,0,0,0,0
3107,corridor_ic,2.0,14.0,2.0,16.5,0,0,0,0,0,0,0,1,0,0,0
3108,toilet_ic,1.0,14.5,2.0,14.5,1,0,0,0,0,0,0,0,0,0,0
3109,backup,2.0,15.5,2.0,15.5,0,0,0,0,0,0,0,0,0,0,0
3110,staircase_ic,1.0,14.0,1.0,16.5,0,0,0,0,0,0,0,0,1,0,0
3112,backup,1.0,16.4,1.0,16.9,0,0,1,0,0,0,0,0,0,0,0
3113,bunk_ic,2.0,12.8,2.0,20.5,0,1,0,1,0,1,0,0,0,0,0
3114,backup,1.0,14.9,1.0,14.9,0,0,0,0,0,0,0,0,0,0,0
3115,backup,1.0,15.0,1.0,15.0,0,0,0,0,0,0,0,0,0,0,0
3116,management,2.0,14.5,2.0,16.5,0,0,1,0,0,0,0,0,0,0,1
