4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,backup,3.0,34.9,3.0,35.4,0,0,1,0,0,0,0,0,0,0,0
3102,ground_floor_ic,3.0,32.4,3.0,35.9,0,0,0,0,0,0,0,0,0,1,0
3103,toilet_ic,3.0,34.7,4.0,34.7,1,0,0,0,0,0,0,0,0,0,0
3104,backup,3.0,34.9,3.0,34.9,0,0,0,0,0,0,0,0,0,0,0
3105,ground_floor_ic,4.0,36.0,4.0,40.0,0,0,1,0,0,0,0,0,0,1,0
3106,backup,3.0,43.0,3.0,43.5,0,0,1,0,0,0,0,0,0,0,0
3107,corridor_ic,3.0,37.0,3.0,39.5,0,0,0,0,0,0,0,1,0,0,0
3108,bunk_ic,3.0,31.5,3.0,35.9,0,0,0,0,1,1,0,0,0,0,0
3109,staircase_ic,4.0,30.5,4.0,33.0,0,0,0,0,0,0,0,0,1,0,0
3110,bunk_ic,3.0,31.4,3.0,38.4,0,1,0,0,0,1,0,0,0,0,0
3112,backup,3.0,35.2,3.0,35.7,0,0,1,0,0,0,0,0,0,0,0
3113,toilet_ic,3.0,33.5,4.0,34.2,1,0,0,1,0,0,0,0,0,0,0
3114,management,3.0,32.9,3.0,34.4,0,0,0,0,0,0,0,0,0,0,1
3115,toilet_ic,3.0,33.3,4.0,33.3,1,0,0,0,0,0,0,0,0,0,0
3116,bunk_ic,4.0,32.4,4.0,36.9,0,0,1,0,0,0,1,0,0,0,0
