4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,toilet_ic,2.0,26.4,3.0,26.9,1,0,1,0,0,0,0,0,0,0,0
3102,backup,3.0,28.9,3.0,28.9,0,0,0,0,0,0,0,0,0,0,0
3103,bunk_ic,3.0,24.2,3.0,31.2,0,1,0,0,0,1,0,0,0,0,0
3104,bunk_ic,2.0,26.9,2.0,30.9,0,0,0,0,0,0,1,0,0,0,0
3105,backup,3.0,34.5,3.0,35.0,0,0,1,0,0,0,0,0,0,0,0
3106,ground_floor_ic,3.0,31.0,3.0,35.0,0,0,1,0,0,0,0,0,0,1,0
3107,toilet_ic,2.0,27.5,3.0,27.5,1,0,0,0,0,0,0,0,0,0,0
3108,corridor_ic,2.0,26.5,2.0,29.0,0,0,0,0,0,0,0,1,0,0,0
3109,toilet_ic,2.0,28.0,3.0,28.0,1,0,0,0,0,0,0,0,0,0,0
3110,staircase_ic,2.0,26.4,2.0,28.9,0,0,0,0,0,0,0,0,1,0,0
3112,bunk_ic,3.0,24.9,3.0,29.8,0,0,1,0,1,1,0,0,0,0,0
3113,backup,3.0,28.4,3.0,29.1,0,0,0,1,0,0,0,0,0,0,0
3114,backup,3.0,28.9,3.0,28.9,0,0,0,0,0,0,0,0,0,0,0
3115,management,3.0,27.4,3.0,28.9,0,0,0,0,0,0,0,0,0,0,1
3116,ground_floor_ic,3.0,27.4,3.0,31.4,0,0,1,0,0,0,0,0,0,1,0
