4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,ground_floor_ic,0.0,0.5,0.0,4.5,0,0,1,0,0,0,0,0,0,1,0
3102,toilet_ic,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0
3103,backup,0.0,4.4,0.0,4.4,0,0,0,0,0,0,0,0,0,0,0
3104,bunk_ic,1.0,0.0,1.0,4.0,0,0,0,0,0,0,1,0,0,0,0
3105,toilet_ic,0.0,4.0,1.0,4.5,1,0,1,0,0,0,0,0,0,0,0
3106,ground_floor_ic,0.0,0.5,0.0,4.5,0,0,1,0,0,0,0,0,0,1,0
3107,toilet_ic,0.0,2.5,1.0,2.5,1,0,0,0,0,0,0,0,0,0,0
3108,corridor_ic,0.0,7.0,0.0,9.5,0,0,0,0,0,0,0,1,0,0,0
3109,backup,0.0,2.5,0.0,2.5,0,0,0,0,0,0,0,0,0,0,0
3110,staircase_ic,0.0,1.5,0.0,4.0,0,0,0,0,0,0,0,0,1,0,0
3112,management,1.0,0.5,1.0,2.5,0,0,1,0,0,0,0,0,0,0,1
3113,backup,0.0,4.2,0.0,4.9,0,0,0,1,0,0,0,0,0,0,0
3114,bunk_ic,0.0,0.0,0.0,4.4,0,0,0,0,1,1,0,0,0,0,0
3115,bunk_ic,1.0,0.0,1.0,7.0,0,1,0,0,0,1,0,0,0,0,0
3116,backup,0.0,4.5,0.0,5.0,0,0,1,0,0,0,0,0,0,0,0
