4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,backup,3.0,34.4,3.0,34.9,0,0,1,0,0,0,0,0,0,0,0
3102,backup,3.0,32.4,3.0,32.4,0,0,0,0,0,0,0,0,0,0,0
3103,ground_floor_ic,3.0,31.2,3.0,34.7,0,0,0,0,0,0,0,0,0,1,0
3104,bunk_ic,3.0,30.9,3.0,34.9,0,0,0,0,0,0,1,0,0,0,0
3105,toilet_ic,3.0,35.5,4.0,36.0,1,0,1,0,0,0,0,0,0,0,0
3106,ground_floor_ic,3.0,39.0,3.0,43.0,0,0,1,0,0,0,0,0,0,1,0
3107,bunk_ic,3.0,30.0,3.0,37.0,0,1,0,0,0,1,0,0,0,0,0
3108,corridor_ic,3.0,29.0,3.0,31.5,0,0,0,0,0,0,0,1,0,0,0
3109,toilet_ic,3.0,30.5,4.0,30.5,1,0,0,0,0,0,0,0,0,0,0
3110,staircase_ic,3.0,28.9,3.0,31.4,0,0,0,0,0,0,0,0,1,0,0
3112,bunk_ic,3.0,30.3,3.0,35.2,0,0,1,0,1,1,0,0,0,0,0
3113,management,3.0,31.3,3.0,33.5,0,0,0,1,0,0,0,0,0,0,1
3114,backup,3.0,32.9,3.0,32.9,0,0,0,0,0,0,0,0,0,0,0
3115,backup,3.0,33.3,3.0,33.3,0,0,0,0,0,0,0,0,0,0,0
3116,toilet_ic,3.0,31.9,4.0,32.4,1,0,1,0,0,0,0,0,0,0,0
