4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,bunk_ic,2.0,19.0,2.0,23.9,0,0,1,0,1,1,0,0,0,0,0
3102,backup,2.0,21.9,2.0,21.9,0,0,0,0,0,0,0,0,0,0,0
3103,bunk_ic,2.0,17.2,2.0,24.2,0,1,0,0,0,1,0,0,0,0,0
3104,ground_floor_ic,2.0,19.9,2.0,23.4,0,0,0,0,0,0,0,0,0,1,0
3105,toilet_ic,2.0,26.0,3.0,26.5,1,0,1,0,0,0,0,0,0,0,0
3106,ground_floor_ic,2.0,26.0,2.0,30.0,0,0,1,0,0,0,0,0,0,1,0
3107,backup,2.0,21.5,2.0,21.5,0,0,0,0,0,0,0,0,0,0,0
3108,corridor_ic,2.0,21.5,2.0,24.0,0,0,0,0,0,0,0,1,0,0,0
3109,staircase_ic,2.0,20.5,2.0,23.0,0,0,0,0,0,0,0,0,1,0,0
3110,management,2.0,20.9,2.0,22.4,0,0,0,0,0,0,0,0,0,0,1
3112,backup,2.0,21.9,2.0,22.4,0,0,1,0,0,0,0,0,0,0,0
3113,toilet_ic,2.0,21.9,3.0,22.6,1,0,0,1,0,0,0,0,0,0,0
3114,toilet_ic,2.0,21.9,3.0,21.9,1,0,0,0,0,0,0,0,0,0,0
3115,bunk_ic,2.0,19.4,2.0,23.4,0,0,0,0,0,0,1,0,0,0,0
3116,backup,2.0,21.5,2.0,22.0,0,0,1,0,0,0,0,0,0,0,0
