4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,bunk_ic,3.0,35.9,3.0,43.4,0,1,1,0,0,1,0,0,0,0,0
3102,toilet_ic,3.0,35.9,4.0,35.9,1,0,0,0,0,0,0,0,0,0,0
3103,management,4.0,38.2,4.0,39.7,0,0,0,0,0,0,0,0,0,0,1
3104,toilet_ic,3.0,36.4,4.0,36.4,1,0,0,0,0,0,0,0,0,0,0
3105,ground_floor_ic,4.0,44.0,4.0,48.0,0,0,1,0,0,0,0,0,0,1,0
3106,backup,4.0,44.0,4.0,44.5,0,0,1,0,0,0,0,0,0,0,0
3107,corridor_ic,4.0,39.5,4.0,42.0,0,0,0,0,0,0,0,1,0,0,0
3108,toilet_ic,3.0,38.4,4.0,38.4,1,0,0,0,0,0,0,0,0,0,0
3109,ground_floor_ic,4.0,35.5,4.0,39.0,0,0,0,0,0,0,0,0,0,1,0
3110,staircase_ic,4.0,38.4,4.0,40.9,0,0,0,0,0,0,0,0,1,0,0
3112,bunk_ic,3.0,36.2,3.0,41.1,0,0,1,0,1,1,0,0,0,0,0
3113,backup,4.0,39.3,4.0,40.0,0,0,0,1,0,0,0,0,0,0,0
3114,backup,3.0,38.4,3.0,38.4,0,0,0,0,0,0,0,0,0,0,0
3115,backup,4.0,40.3,4.0,40.3,0,0,0,0,0,0,0,0,0,0,0
3116,bunk_ic,4.0,37.4,4.0,41.9,0,0,1,0,0,0,1,0,0,0,0
