4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,backup,2.0,23.9,2.0,24.4,0,0,1,0,0,0,0,0,0,0,0
3102,toilet_ic,2.0,21.9,3.0,21.9,1,0,0,0,0,0,0,0,0,0,0
3103,backup,2.0,24.2,2.0,24.2,0,0,0,0,0,0,0,0,0,0,0
3104,backup,2.0,23.4,2.0,23.4,0,0,0,0,0,0,0,0,0,0,0
3105,ground_floor_ic,3.0,26.5,3.0,30.5,0,0,1,0,0,0,0,0,0,1,0
3106,toilet_ic,2.0,30.0,3.0,30.5,1,0,1,0,0,0,0,0,0,0,0
3107,ground_floor_ic,2.0,21.5,2.0,25.0,0,0,0,0,0,0,0,0,0,1,0
3108,corridor_ic,2.0,24.0,2.0,26.5,0,0,0,0,0,0,0,1,0,0,0
3109,staircase_ic,2.0,23.0,2.0,25.5,0,0,0,0,0,0,0,0,1,0,0
3110,bunk_ic,2.0,22.4,2.0,26.4,0,0,0,0,0,0,1,0,0,0,0
3112,management,2.0,22.4,2.0,24.4,0,0,1,0,0,0,0,0,0,0,1
3113,backup,3.0,22.6,3.0,23.3,0,0,0,1,0,0,0,0,0,0,0
3114,bunk_ic,3.0,21.9,3.0,28.9,0,1,0,0,0,1,0,0,0,0,0
3115,toilet_ic,2.0,23.4,3.0,23.4,1,0,0,0,0,0,0,0,0,0,0
3116,bunk_ic,2.0,22.0,2.0,26.9,0,0,1,0,1,1,0,0,0,0,0
