4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,management,2.0,24.4,2.0,26.4,0,0,1,0,0,0,0,0,0,0,1
3102,bunk_ic,3.0,21.9,3.0,28.9,0,1,0,0,0,1,0,0,0,0,0
3103,toilet_ic,2.0,24.2,3.0,24.2,1,0,0,0,0,0,0,0,0,0,0
3104,ground_floor_ic,2.0,23.4,2.0,26.9,0,0,0,0,0,0,0,0,0,1,0
3105,ground_floor_ic,3.0,30.5,3.0,34.5,0,0,1,0,0,0,0,0,0,1,0
3106,backup,3.0,30.5,3.0,31.0,0,0,1,0,0,0,0,0,0,0,0
3107,corridor_ic,2.0,25.0,2.0,27.5,0,0,0,0,0,0,0,1,0,0,0
3108,backup,2.0,26.5,2.0,26.5,0,0,0,0,0,0,0,0,0,0,0
3109,staircase_ic,2.0,25.5,2.0,28.0,0,0,0,0,0,0,0,0,1,0,0
3110,backup,2.0,26.4,2.0,26.4,0,0,0,0,0,0,0,0,0,0,0
3112,toilet_ic,2.0,24.4,3.0,24.9,1,0,1,0,0,0,0,0,0,0,0
3113,bunk_ic,3.0,23.3,3.0,28.4,0,0,0,1,1,1,0,0,0,0,0
3114,backup,3.0,28.9,3.0,28.9,0,0,0,0,0,0,0,0,0,0,0
3115,bunk_ic,3.0,23.4,3.0,27.4,0,0,0,0,0,0,1,0,0,0,0
3116,toilet_ic,2.0,26.9,3.0,27.4,1,0,1,0,0,0,0,0,0,0,0
