4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,backup,3.0,35.4,3.0,35.9,0,0,1,0,0,0,0,0,0,0,0
3102,backup,3.0,35.9,3.0,35.9,0,0,0,0,0,0,0,0,0,0,0
3103,ground_floor_ic,4.0,34.7,4.0,38.2,0,0,0,0,0,0,0,0,0,1,0
3104,management,3.0,34.9,3.0,36.4,0,0,0,0,0,0,0,0,0,0,1
3105,ground_floor_ic,4.0,40.0,4.0,44.0,0,0,1,0,0,0,0,0,0,1,0
3106,toilet_ic,3.0,43.5,4.0,44.0,1,0,1,0,0,0,0,0,0,0,0
3107,toilet_ic,3.0,39.5,4.0,39.5,1,0,0,0,0,0,0,0,0,0,0
3108,corridor_ic,3.0,35.9,3.0,38.4,0,0,0,0,0,0,0,1,0,0,0
3109,staircase_ic,4.0,33.0,4.0,35.5,0,0,0,0,0,0,0,0,1,0,0
3110,toilet_ic,3.0,38.4,4.0,38.4,1,0,0,0,0,0,0,0,0,0,0
3112,backup,3.0,35.7,3.0,36.2,0,0,1,0,0,0,0,0,0,0,0
3113,bunk_ic,4.0,34.2,4.0,39.3,0,0,0,1,1,1,0,0,0,0,0
3114,bunk_ic,3.0,34.4,3.0,38.4,0,0,0,0,0,0,1,0,0,0,0
3115,bunk_ic,4.0,33.3,4.0,40.3,0,1,0,0,0,1,0,0,0,0,0
3116,backup,4.0,36.9,4.0,37.4,0,0,1,0,0,0,0,0,0,0,0
