4D,role,toilet_merit,general_merit,toilet_merit_new,general_merit_new,toilet_main,bunk_windows,bunk_window_bedside,bunk_high_areas,bunk_holes,bunk_sweep_half,bunk_mop,corridor_main,staircase_main,ground_main,management_main
3101,bunk_ic,3.0,26.9,3.0,34.4,0,1,1,0,0,1,0,0,0,0,0
3102,ground_floor_ic,3.0,28.9,3.0,32.4,0,0,0,0,0,0,0,0,0,1,0
3103,backup,3.0,31.2,3.0,31.2,0,0,0,0,0,0,0,0,0,0,0
3104,toilet_ic,2.0,30.9,3.0,30.9,1,0,0,0,0,0,0,0,0,0,0
3105,backup,3.0,35.0,3.0,35.5,0,0,1,0,0,0,0,0,0,0,0
3106,ground_floor_ic,3.0,35.0,3.0,39.0,0,0,1,0,0,0,0,0,0,1,0
3107,corridor_ic,3.0,27.5,3.0,30.0,0,0,0,0,0,0,0,1,0,0,0
3108,toilet_ic,2.0,29.0,3.0,29.0,1,0,0,0,0,0,0,0,0,0,0
3109,staircase_ic,3.0,28.0,3.0,30.5,0,0,0,0,0,0,0,0,1,0,0
3110,toilet_ic,2.0,28.9,3.0,28.9,1,0,0,0,0,0,0,0,0,0,0
3112,backup,3.0,29.8,3.0,30.3,0,0,1,0,0,0,0,0,0,0,0
3113,management,3.0,29.1,3.0,31.3,0,0,0,1,0,0,0,0,0,0,1
3114,bunk_ic,3.0,28.9,3.0,32.9,0,0,0,0,0,0,1,0,0,0,0
3115,bunk_ic,3.0,28.9,3.0,33.3,0,0,0,0,1,1,0,0,0,0,0
3116,backup,3.0,31.4,3.0,31.9,0,0,1,0,0,0,0,0,0,0,0
